ἆ I
καθοδηγέω V
κάθοδος N
Καθοηλ Np
καθόλου D
καθομολογέω V
καθοπλίζω V
καθοράω V
καθόρμιον N
καθότι C D
Καθουα Np
καθυβρίζω V
καθυμνέω V
καθύπερθε D
καθυπνόω V
καθυστερέω V
καθυφαίνω V
καθωπλικώς D
καθώς C D
καθώσπερ D
καί C D P
Καϊάφας Np
Καιβαισελεηλ Np
καΐἐκεῖνος C
καϊἐμός C
Κάϊν Np
Καινα Np
Καιναῖον Np
Καιναῖος Np
Καϊνάμ Np
Καϊνάν Np
Καινή Np
καινίζω V
καινός A
καινότης N
καινουργός A
καίπερ C
καίριος A
καιρός N
Καῖσαρ Np
Καισάρεια Np
καίτοι C
καίω V
κακαλογέω V
κἀκεῖ C D
κακηγορέω V
κακία N
κακίζω V
κακοήθεια N
κακοήθης A
κακολογέω V
κακόμοχθος A
κακοπάθεια N
κακοπαθέω V
κακοποιέω V
κακοποίησις N
κακοποιός A
κακοπραγία N
κακός A
κακοτεχνάομαι V
κακότεχνος A
κακουργία N
κακοῦργος A
κακοφροσύνη N
κακόφρων A
κακόω V
κακῶς D
κάκωσις N
καλαβώτης N
κάλαθος N
καλαμάομαι V
καλάμη N
καλάμινος A
καλαμίσκος N
κάλαμος N
Καλαμω Np
καλέω V
Καλιτα Np
Καλιτας Np
Καλλαι Np
καλλιόω V
καλλίπαις N
Καλλισθένης Np
καλλονή N
κάλλος N
κάλλυνθρον N
καλλωπίζω V
Καλοὶ Λιμένες Np
καλοκἀγαθία N
καλός A
κάλπη N
κάλυμμα N
κάλυξ N
καλυπτήρ N
καλύπτω V
κάλυψις N
καλώδιον N
καλώς D
καλῶς D
κάμαξ N
καμάρα N
καμηλοπάρδαλις N
κάμηλος N
Καμιν Np
καμιναία N
κάμινος N
καμμύω V
κάμνω V
Καμουηλ Np
καμπή N
κάμπτω V
καμπύλος A
κἄν C
Κανά Np
Κανααθ Np
Καναθ Np
Καναναῖος Np
Κανανίτης Np
Κανδάκη Np
Κανθαν Np
κάνθαρος N
κανθός N
κανοῦν N
κανών N
Καπερναούμ Np
κάπηλος N
Καπιρας Np
καπνίζω V
καπνός N
Καππάδοκες Np
Καππαδοκία Np
κάππαρις N
κάπτω V
Καραβασιων Np
Καρανα Np
καρασιμ N
Καραφα Np
καρδία N
καρδιόω V
Καρεμ Np
Καρηε Np
Καρία Np
Καριαθαιμ Np
Καριαθαρβοκ Np
Καριαθαρβοκσεφερ Np
Καριαθαρβοξεφερ Np
Καριαθβααλ Np
Καριαθιαριμ Np
Καριαθιαριν Np
Καριαθιαριος Np
Καριαθσωφαρ Np
Καριωθ Np
Καρκαρ Np
Καρμηλία Np
Καρμήλιας Np
Καρμήλιος Np
Κάρμηλον Np
Κάρμηλος Np
Καρναιν Np
Καρνιον Np
καρόω V
καρπάσινος N
καρπίζομαι V
κάρπιμος A
καρπόβρωτός N
Κάρπος Np
καρπός N
καρποφορέω V
καρποφόρον A
καρποφόρος A
καρπόω V
κάρπωμα N
κάρπωσις N
καρπωτόν A
κάρταλλος N
καρτερέω V
καρτερία N
καρτερός A
καρτεροψυχία N
καρτερῶς D
καρύα N
καρυΐνη N
καρύινος A
καρυίσκος N
κάρυον N
καρυωτός N
κάρφος N
Καρχηδόνιοι Np
Καρχηδών Np
Κασεριν Np
Κασία Np
κασία N
Κασιμ Np
Κασπιν Np
κασσιτέρινος A
κασσίτερος N
Κασων Np
κατά P D
Κατααθ Np
καταβαίνω V
καταβάλλω V
καταβαρύνω V
καταβάσιος A
κατάβασις N
καταβιάζομαι V
καταβιβάζω V
καταβιβρώσκω V
καταβιόω V
καταβλάπτω V
καταβλέπω V
καταβοάω V
καταβόησις N
καταβολή N
καταβόσκω V
κατάβρωμα N
κατάβρωσις N
κατάγαιος A
καταγγέλλω V
καταγέλαστος A
καταγελάω V
κατάγελως D N
καταγηράω V
καταγίνομαι V
καταγινώσκω V
κατάγνυμι V
κατάγνωσις N
καταγογγύζω V
καταγορεύω V
καταγράφω V
κατάγω V
καταδαμάζω V
καταδαπανάω V
καταδείκνυμι V
καταδεσμεύω V
καταδέσμους N
καταδέχομαι V
καταδέω V
καταδιαιρέω V
καταδικάζω V
καταδίκη N
καταδιώκω V
καταδολεσχέω V
καταδουλόω V
καταδρομή N
καταδυναστεία A N
καταδυναστεύω V
καταδύσις N
καταδύω V
καταθαρσύνω V
καταθλάω V
καταθύμιος A
καταιγίς N
καταιδέομαι V
καταικίζω V
καταισχύνω V
κατακαίω V
κατακάλυμμα N
κατακαλύπτω V
κατακάμπτω V
κατάκαρπος A
κατακάρπως D
κατακάρπωσις N
κατάκαυμα N
κατακαυχάομαι V
κατάκειμαι V
κατακενόω V
κατακεντέω V
κατακλάω V
κατάκλειστος A N
κατακλείω V
κατακληροδοτέω V
κατακληρονομέω V
κατακληρόω V
κατακλίνω V
κατάκλιτον N
κατακλύζω V
κατακλυσμός N
κατακολουθέω V
κατακονδυλίζω V
κατακοντίζω V
κατακοπή N
κατάκοπος A
κατακόπτω V
κατακοσμέω V
κατακρατέω V
κατακρημνίζω V
κατακρίνω V
κατακροτέω V
κατακρούω V
κατακρύπτω V
κατακτάομαι V
κατακτείνω V
κατακυλίνδω V
κατακύπτω V
κατακυριεύω V
καταλαλέω V
καταλαλιά N
καταλαμβάνω V
καταλάμπω V
καταλεαίνω V
καταλέγω V
κατάλειμμα N
καταλείπω V
καταλείφω V
κατάλειψις N
καταλέω V
καταλήγω V
κατάληψις N
καταλιθοβολέω V
κατάλιθος A
καταλιμπάνω V
καταλλαγή N
καταλλάσσω V
καταλογίζομαι V
κατάλοιπος A
καταλοχία A
καταλοχισμός N
κατάλυμα N
κατάλυσις N
καταλύτης N
καταλύω V
καταμανθάνω V
καταμαρτυρέω V
καταμένω V
καταμερίζω V
καταμερισμός N
καταμεστόω V
καταμετρέω V
καταμήνιος A
καταμηνύω V
καταμίγνυμι V
καταμιμνῄσκομαι V
καταμωκάομαι V
καταναγκάζω V
Καταναθ Np
καταναλίσκω V
κατανέμω V
κατανίσταμαι V
κατανοέω V
κατανοήσις N
καταντάω V
κατάντημα N
καταντλέω V
κατάνυξις N
κατανύσσω V
κατανύω V
κατανωτίζομαι V
καταξαίνω V
καταξηραίνω V
κατάξηρος A
κατάξιος A
καταξιόω V
καταξύω V
καταπαίζω V
καταπαλαίω V
καταπάλτης N
καταπανουργεύομαι V
καταπάσσω V
καταπατέω V
καταπάτημα A N
καταπάτησις N
κατάπαυμα N
κατάπαυσις N
καταπαύω V
καταπειράζω V
καταπελματόομαι V
καταπενθέω V
καταπετάννυμι V
καταπέτασμα N
καταπήγνυμι V
καταπηδάω V
κατάπικρος A
καταπίνω V
καταπίπτω V
καταπιστεύω V
καταπλάσσω V
καταπληγμός N
κατάπληξις N
καταπλήσσω V
κατάπλους N
καταπολεμέω V
καταπονέω V
κατάπονος A
καταποντίζω V
καταποντισμός N
καταπορεύομαι V
καταπραΰνω V
καταπρίω V
καταπροδίδωμι V
καταπρονομεύω V
καταπτήσσω V
κατάπτωμα N
κατάπτωσις N
κατάρα N
καταράομαι V
κατάρασις N
κατάρατος A
καταράω V
καταργέω V
καταργυρόω V
καταριθμέω V
καταρομβεύω V
καταρράκτης N
καταρράσσω V
καταρρέω V
καταρρήγνυμι V
καταρρίπτω V
κατάρρυτος A
καταρτίζω V
κατάρχω V
κατασβέννυμι V
κατασείω V
Κατασεμ Np
κατασιωπάω V
κατασκάπτω V
κατασκεδάζω V
κατασκέπτομαι V
κατασκευάζω V
κατασκεύασμα N
κατασκευή N
κατασκηνάω V
κατασκηνόω V
κατασκήνωσις N V
κατάσκιος A
κατασκοπέω V
κατάσκοπος N
κατασμικρύνω V
κατασοφίζομαι V
κατασπαταλάω V
κατασπάω V
κατασπείρω V
κατασπεύδω V
κατασπουδάζομαι V
καταστασιάζω V
κατάστασις N
καταστέλλω V
κατάστεμα N
καταστενάζω V
καταστέφω V
καταστηρίζω V
καταστολή N
καταστραγγίζω V
καταστρατοπεδεύω V
καταστρέφω V
καταστροφή N
καταστρώννυμι V
κατασύρω V
κατασφάζω V
κατασφαλίζομαι V
κατασφραγίζω V
κατάσχεσις N
κατασχίζω V
κατατάσσω V
κατατείνω V
κατατέμνω V
κατατέρπω V
κατατήκω V
κατατίθημι V
κατατίλλω V
κατατιτρώσκω V
κατατολμάω V
κατατοξεύω V
κατατρέχω V
κατατρίβω V
κατατρυφάω V
κατατρώγω V
κατατυγχάνω V
καταυγάζω V
καταφαίνω V
καταφερής A
καταφέρω V
καταφεύγω V
καταφθάνω V
καταφθείρω V
καταφθορά N
καταφιλέω V
καταφλέγω V
καταφλογίζω V
κατάφοβοι A
καταφορά N
καταφράσσω V
καταφρονέω V
καταφρόνησις N
καταφρονητής N
καταφυγή N
καταφύτευσις N
καταφυτεύω V
καταχαίρω V
καταχαλαζάω V
καταχαλκόω V
καταχέω V
καταχράομαι V
κατάχρεος A
καταχρίω V
καταχρύσεα N
καταχρυσόω V
κατάχυσις N
καταχώννυμι V
καταχωρίζω V
καταψεύδομαι V
καταψευσμός N
καταψύχω V
κατεγχειρέω V
κατεῖπον V
κατελεέω V
κατεμβλέπω V
κατέναντι D P
κατεναντίον D P
κατεναντίος D
κατεντευκτής N
κατενώπιον P
κατεπείγω V
κατεπίθυμος A
κατεπικύπτω V
κατεργάζομαι V
κατεργασία N
κάτεργον N
κατέρχομαι V
κατεσθίω V
κατευθικτέω V
κατευθύνω V
κατευλογέω V
κατευοδόω V
κατευφημέω V
κατεύχομαι V
κατέχω V
κατηγορέω V
κατήγορος N
κατήγωρ N
κατηφής A
κατιόω V
κατισχύω V
κατοδυνάω V
κατοικεσία N
κατοικέω V
κατοίκησις N
κατοικητήριον N
κατοικία N
κατοικίζω V
κατοικοδομέω V
κάτοικος N
κατοικτείρω V
κατοινόομαι V
κατόπισθε D
κατόπισθεν D P
κατοπίσω P
κατοπτεύω V
κάτοπτρον N
κατορθόω V
Κατόρθωσις Np
κατόρθωσις N
κατορύσσω V
κατορχέομαι V
κατοχεύω V
κατόχιμος A
κάτοχος A
Κατταθ Np
κάτω D P
κατώδυνος A
κάτωθεν D
κατώτατος N A
κατωτάτω D
κατώτερος A
κατωτέρω D
Καῦδα Np
καυλός N
καῦμα N
καῦσις N
καυστικός A
καύσων N
καυτήριον N
καυχάομαι V
καύχημα N
καύχησις N
Καφαν Np
Καφαρναούμ Np
Καφηραμμιν Np
Καφθοριιμ Np
Καφιρα Np
καφουρη N
καψάκης N
κβʹ M
Κεαφ Np
Κεβλααμ Np
Κεγχρεαί Np
κέγχρος N
Κεδαμωθ Np
Κεδελ Np
Κεδεμ Np
Κεδες Np
Κεδημωθ Np
Κεδμα Np
Κεδμωναῖος Np
κέδρινος A
κέδρος N
Κεδρών Np
Κεζιβ Np
Κεϊλα Np
Κεϊλαμ Np
κεῖμαι V
κειρία N
κείρω V
κεκρυμμένως D
Κελεζ Np
κέλευσμα N
κελεύω V
Κενδεβαῖος Np
Κενεζ Np
Κενεζαῖος Np
Κενεζι Np
Κενερεθ Np
Κενερωθ Np
κενεών N
κενοδοξέω V
κενοδοξία N
κενολογέω V
κενός A
κενοτάφιον N
κενόω V
κεντέω V
κέντρον N
κενῶς D
κεπφόομαι V
κεραμεύς N
κεραμικός A
κεράμιον N
κέραμος N
κεράννυμι V
κεραννύω V
κέρας N
κέρασμα N
κεράστης N
κερατίζω V
κερατίνη N
κερατιστής N
κεραυνός N
κεραυνόω V
κέρκος N
κέρκωψ N
Κερωε Np
Κεσιων Np
κεφάλαιον N
κεφαλαιόω V
κεφαλή N
κεφαλιόω V
κεφαλίς N
Κεφιρα Np
κεφφουρε N
κεφφουρῆς N
Κεχαρ Np
Κηδαρ Np
κηδεία N
κηδεμονία N
κηδεμών N
Κηδες Np
κηλιδόομαι V
κηλιδόω V
κηλίς N
κημός N
κημόω V
κῆπος N
Κηραος Np
Κηρας Np
κηρίον N
κηρογονία N
κηρός N
κήρυγμα N
κῆρυξ N
κηρύσσω V
Κηταβ Np
κῆτος N
Κηφᾶς Np
κθʹ M
κίβδηλος A
κιβωτός N
κίδαρις N
κιθάρα N
κιθαρίζω V
Κιλαν Np
Κιλικία Np
Κινα Np
Κιναῖοι Np
Κιναῖος Np
Κιναν Np
κινδυνεύω V
κίνδυνος N
κινέω V
κίνημα N
κίνησις N
κινητικός A
κιννάμωμον N
κινύρα N
Κιραδας Np
Κιραμας Np
Κιρας Np
κιρνάω V
Κίς Np
Κισαι Np
Κισαιας Np
κισσάω V
κισσός N
κισσόφυλλον N
Κισων Np
Κιτιαῖοι Np
Κιτιεῖς Np
Κίτιοι Np
Κίτιος Np
κιχράω V
κίχρημι V
κίων N
κλάδος N
κλαίω V
κλάσμα N
Κλαύδη Np
Κλαυδία Np
Κλαύδιος Np
κλαυθμός N
κλαυθμών N
κλάω V
κλεῖθρον N
κλείς N
κλείω V
κλέμμα N
Κλεοπᾶς Np
Κλεοπάτρα Np
κλέος N
κλέπτης N
κλέπτω V
κλεψιμαῖος A N
κληδονίζω V
κληδονισμός N
κληδών N
κλῆμα N
κληματίς N
Κλήμης Np
κληροδοσία N
κληροδοτέω V
κληρονομέω V
κληρονομία N
κληρονόμος N
κλῆρος N
κληρόω V
κληρωτί D
κλῆσις N
κλητέος A
κλητός A
κλίβανος N A
κλίμα N
κλιμακτήρ N
κλῖμαξ N
κλίνη N
κλίνω V
κλισία N
κλίτος N
κλοιός N
κλοπή N
κλοποφορέω V
κλύδων N
κλυδωνίζομαι V
κλώθω V
κλών N
Κλωπᾶς Np
κλῶσμα N
κλωστός A
κνήμη N
κνημίς N
κνήφη N
κνίδη N
Κνίδος Np
κνίζω V
κνώδαλον N
κοθωνος A
κοιλάς N
κοίλασμα N
Κοίλη Np
κοιλία N
κοῖλος A
κοιλοσταθμέω V
κοιλόσταθμος N
κοιλότης N
κοίλωμα N
κοιμάω V
κοίμησις N
κοιμίζω V
κοινολογέομαι V
κοινολογία N
κοινός A
κοινόω V
Κόιντος Np
κοινωνέω V
κοινωνία N
κοινωνός N
κοινῶς D
κοιτάζομαι V
κοιτασία N
κοίτη N
κοιτών N
κόκκινος A
κόκκος N
κολαβρίζομαι V
κολάζω V
κολακεύω V
κολάπτω V
κόλασις N
κολεός N
κολλάω V
κόλλη N
κολλυρίζω V
κολλύριον N
κολλυρίς N
κολοβόκερκος A
κολοβόριν A
κολοβόω V
κολόκυνθα N
Κολοσσαεύς Np
Κολοσσαί Np
κόλπος N
κόλπωμα N
κολυμβήθρα N
κόμη N
κομιδή N
κομίζω V
κόμμα N
κόμπος N
κόνδυ N
κονδυλίζω V
κονδυλισμός N
κόνδυλος N
κονία N
κονίαμα N
κονιάω V
Κονιορτόν Np
κονιορτός N
κόνις N
κοντός N
κονύζα N
κοπάζω V
κοπανίζω V
κοπετός N
κοπή N
κοπιάζω V
κοπιάω V
κόπος N
κοπόω V
κοπρία N
κόπριον N
κόπρος N
κόπτω V
κόπωσις N
κόραξ N
κοράσιον N
Κορέ Np
Κορεϊμ Np
κορέω V
κόρη N
Κορίνθιος Np
Κόρινθος Np
κόριον N
Κορίτη Np
Κορίτης Np
Κορνήλιος Np
κόρος N
κορύνη N
κόρυς N
κορυφή N
κορώνη N
κόσκινον N
κοσμέω V
κόσμιος N
κοσμοπληθής A
κοσμοποιΐα N
κόσμος N
κοσμοφορέω V
κόσυμβος N
κοσυμβωτός A
κοτύλη N
Κούαρτος Np
Κουε Np
Κουθα Np
Κουλον Np
κουρά N
κουρεύς N
κουρέω V
κουφίζω V
κοῦφος A
κούφως D
κόφινος N
κόχλαξ N
κραδαίνω V
κράζω V
κραιπαλάω V
κρᾶμα N
κρανίον N
κράσπεδον N
κραταιός A
κραταιότης N
κραταιόω V
κραταίωμα N
κραταιῶς D
κραταίωσις N
κρατέω V
κρατήρ N
Κράτης Np
κράτησις N
κράτος N
κρατύνω V
κραυγάζω V
κραυγή N
κρεάγρα N
κρεανομέω V
κρέας N
κρείσσων A
κρεμάννυμι V
κρεμαστός A
κρημνίζω V
κρημνός N
κρήνη N
κρηπίς N
Κρής Np
Κρήσκης Np
Κρῆτες Np
Κρήτη Np
κριθή N
κρίθινος A
κρίκος N
κρίμα N
κρίνον N
κρίνω V
κριός N
κρίπτω V
κρίσις N
Κρίσπος Np
κριτήριον N
κριτής N
κρόκη N
κροκόδειλος N
κρόκος N
κρόμμυον N
κροσός N
κροσσωτός A
κρόταφος N
κροτέω V
κρουνηδόν D
κρούω V
κρυβῇ D
κρυπτός A
κρύπτω V
κρυπτῶς D
κρυσταλλοειδής A
κρύσταλλος N
κρυφαῖος A
κρυφαίως D
κρυφῇ D
κρύφιος A
κρύφος N
κτάομαι V
κτῆμα N
κτῆνος N
κτηνοτρόφος A
κτηνώδης A
κτῆσις N
κτίζω V
κτίσις N
κτίσμα N
κτίστης N
κτύπος N
κύαθος N
κύαμος N
Κυαμών Np
κυβερνάω V
κυβέρνησις N
κυβερνήτης N
κύβος N
Κυδιως Np
κυδοιμέω V
κῦδος N
κύησις N
κύθρα N
κυθρόπους N
κυκλεύω V
κυκλόθεν D P
κύκλος N
κυκλόω V
κύκλωμα N
κύκλωσις N
κύκνειος A
κύκνος N
κυλίζω V
κυλικεῖον N
κυλίκιον N
κυλίω V
κῦμα N
κυμαίνω V
κυμάτιον N
κυμβαλίζω V
κύμβαλον N
κύμινον N
κυνηγέω V
κυνήγιον N
κυνηγός A N
κυνικός A
κυνόμυια N
κυοφορέω V
κυοφορία N
κυπαρίσσινος A
κυπάρισσος N
Κυπριάρχης Np
κυπρίζω V
Κύπριος Np
κυπρισμός N
Κύπρος Np
κύπρος N
κύπτω V
κυρέω V
Κυρηναῖος Np
Κυρήνη Np
Κυρήνιος Np
κυρία N
κυριεία N
κυριεύω V
κύριος A N
Κῦρος Np
κῦρος N
κυρόω V
κυρτός A N
κύτος N
κύφω V
κυψέλη N
κύω V
κύων N
κώδιον N
κώδων N
κώθων N
κωθωνίζομαι V
κωθωνίζω V
κωκυτός N
Κωλα Np
Κωλαδαμ Np
κωλέα N
Κωλια Np
Κωλιος Np
Κωλιτας Np
κῶλον N
κώλυμα N
κωλυτικός A
κωλύω V
κωμάρχης N
κώμη N
κῶμος N
Κωνα Np
κωνώπιον N
κώπη N
κωπηλάτης N
Κωρη Np
Κώς Np
Κωσάμ Np
κωφ N
κωφάω V
κωφεύω V
κωφός A
Λααδ Np
Λααδα Np
Λααδαν Np
Λαβαν Np
Λαβανα Np
Λαβαναθ Np
Λαβανω Np
λαβδ N
Λαβδων Np
Λαβεκ Np
λαβή N
Λαβιιμ Np
λαβίς N
λάβρος A
Λαβωεμαθ Np
Λαβωθ Np
Λαβως Np
λάγανον N
λαγχάνω V
λαγών N
Λαδαβαρ Np
Λαδαν Np
Λάζαρος Np
Λαηλ Np
λάθρα D
λαθραῖος A
λαθραίως D
λάθριος A
λαῖλαψ N
λαιμαργία N
Λαις Np
Λαισα Np
Λακαιδαιμόνιοι Np
λακάω V
Λακεϊ Np
λάκκος N
Λακκουνος Np
Λακος Np
λακωνικός A
λαλέω V
λάλημα N
λαλητός N
λαλιά N
Λαμας Np
λαμβάνω V
Λάμεχ Np
λαμπάδιον N
λαμπάς N
λαμπήνη N
λαμπηνικός A
λαμπρός A
λαμπρότης N
λαμπτήρ N
λάμπω V
λάμψις N
Λανακ Np
λανθάνω V
λάξ D
λαξευτήριον N
λαξευτός A
λαξεύω V
λαογραφία N
Λαοδίκεια Np
Λαοδικεύς Np
λαός N
λαπιστής N
λάπτω V
λάρος N
λάρυγξ N
Λασα Np
Λασαία Np
Λασενδακ Np
Λασθενής Np
λατομέω V
λατόμητος A N
λατόμος N
Λατουσιιμ Np
λατρεία N
λατρευτός A
λατρεύω V
λάτρις N
Λαφιδωθ Np
λαφυρεύω V
λάφυρον N
λαχανεία N
λάχανον N
Λαχης Np
Λαχις Np
λέαινα N
λεαίνω V
Λεασαμυς Np
Λεβ Np
Λεββαῖος Np
λέβης N
Λεβνα Np
Λεβωνα Np
λέγω V
Λεεμι Np
λεηλατέω V
Λεια Np
λεῖμμα N
λεῖος A
λειποτακτέω V
λείπω V
λειτουργέω V
λειτούργημα N
λειτουργήσιμος A
λειτουργία N
λειτουργικός A
λειτουργός N
λειχήν N
λείχω V
λεκάνη N
λεληθότως D
Λεμνα Np
Λεμωνα Np
λέξις N
λεοντηδόν D
λεπίζω V
λεπίς N
λέπισμα N
λέπρα N
λεπράω V
λεπρός A
λεπρόω V
λεπτόν A
λεπτός A
λεπτύνω V
λέπυρον N
λέσχη N
λευείτης N
Λευΐ Np
Λευΐς Np
Λευΐτης Np
Λευϊτικός Np
λευκαθίζω V
λευκαίνω V
λευκανίζω V
Λεύκιος Np
λευκός A
λευκότης N
λεύκωμα N
λευκώμασις N
Λεχι Np
λεχώς N
λέων N
λεωπετρία N
λήγω V
λήθη N
λῆμμα N
λῆμψις N
ληνός N
λῆρος N
ληρώδης A
λῃστεύω V
λῃστήριον N
λῃστής N
Ληχα Np
λῆψις N
λίαν D
Λίβανος Np
λίβανος N
λιβανόω V
λιβανωτός N
Λιβερτῖνος Np
Λίβευς Np
Λίβυες Np
Λιβύη Np
λιγύριον N
λιθάζω V
λίθινος A
λιθοβολέω V
λιθοβόλον N
λίθος N
λιθόστρωτος A
λιθουργέω V
λιθουργικός A
λιθούργος N
λιθώδης A
λικμάω V
λικμήτωρ N
λικμίζω V
λικμός N
λιμαγχονέω V
λιμήν N
λίμνη N
λιμοκτονέω V
λιμός N
λιμώσσω V
λινοκαλάμη N
λίνον N
Λίνος Np
λινοῦς A
λιπαίνω V
λιπαρός A
λίπασμα N
λιποθυμέω V
λίσσομαι V
λιτανεία N
λιτανεύω V
λιτός A
λιχνεία N
λίψ N
Λοβενα Np
Λοβενι Np
Λοβνα Np
Λοβον Np
λοβός N
Λοβωημαθ Np
λογεῖον N
λογίζομαι V
λόγιον N
λογισμός N
λογιστής N
λόγος N
λόγχη N
Λοδ Np
Λοζων Np
λοιδορέω V
λοιδόρησις N
λοιδορία N
λοίδορος A
λοιμεύομαι V
λοιμός A N
λοιμότης N
λοιπόν A
Λομνα Np
Λουδ Np
Λουδιιμ Np
Λουζα Np
Λουιθ Np
Λουκαμ Np
Λουκᾶς Np
Λούκιος Np
Λουσαμηνχα Np
λουτήρ N
λουτρόν N
λούω V
λοφιά N
λοχεύω V
λόχος N
Λοωμιμ Np
Λύδδα Np
Λυδία Np
Λυδοί Np
Λυδός Np
λυθρώδης A
Λυκαονία Np
Λυκαονιστί Np
Λυκία Np
λύκος N
λυμαίνομαι V
λυμεών N
λυπέω V
λύπη N
λυπηρός A
Λυσανίας Np
Λυσίας Np
Λυσίμαχος Np
λύσις N
λυσιτέλεια N
λυσιτελέω V
λυσιτελής A
Λύστρα Np
λύτρον N
λυτρόω V
λυτρών N
λύτρωσις N
λυτρωτής N
λυχνία N
λύχνος N
λύω V
Λωδαβαρ Np
Λωθασουβος Np
Λωΐς Np
λῶμα N
λωποδυτέω V
Λώτ Np
Λωταν Np
μά X
Μααζια Np
Μαάθ Np
Μααλα Np
Μααλαθ Np
Μααλλων Np
Μααλων Np
Μααν Np
Μααναιμ Np
Μααναιν Np
Μαανι Np
Μααραγαβε Np
Μαας Np
Μαασα Np
Μαασαι Np
Μαασαια Np
Μαασαιας Np
Μαασαις Np
Μαασηα Np
Μαασια Np
Μαασιας Np
Μαασμᾶν Np
Μααταρωθορεχ Np
Μααχα Np
Μααχαν Np
Μααχατι Np
Μααχως Np
Μαβασαμ Np
Μαβσαν Np
Μαβσαρ Np
Μαγαδαγαδ Np
Μαγαδάν Np
Μαγαρωθ Np
Μαγαφης Np
Μαγδαλά Np
Μαγδαλγαδ Np
Μαγδαληνή Np
Μαγδαλιηλ Np
Μαγδαν Np
Μαγδω Np
Μάγδωλος Np
Μαγδώλου Np
Μαγδων Np
Μαγεβως Np
Μαγεδδαων Np
Μαγεδδω Np
Μαγεδδων Np
Μαγεδω Np
Μαγεδων Np
μαγειρεῖον N
μαγειρεύω V
μαγείρισσα N
μάγειρος N
μαγικός A
μαγίς N
μάγος N
Μαγώγ Np
Μαδαι Np
Μαδαν Np
μαδαρόω V
μαδάω V
Μαδβαρῖτις A N
Μαδεβηνα Np
Μαδιάμ Np
Μαδιάν Np
Μαδιανίτης Np
Μαδιανῖτις A N
Μαδιανιτῶν Np
Μαδιηναῖος Np
Μαδων Np
Μαεβερ Np
Μαελα Np
Μαελεθ Np
μαελεθ N
μάζα N
Μαζαρ Np
Μαζιτιας Np
μαζουρωθ N
Μαηλων Np
Μαηρος Np
Μαθαθα Np
Μαθαθια Np
Μαθαν Np
Μαθαναι Np
Μαθανι Np
Μαθανια Np
μάθημα N
Μαθθαῖος Np
Μαθθαναι Np
Μαθθανιας Np
Μαθθάτ Np
Μαθθίας Np
Μαθουσαλά Np
μαῖα N
Μαιανι Np
Μαιαννας Np
Μαιδαβα Np
Μαιζοοβ Np
Μαιηλ Np
μαιμάσσω V
Μαιναμ Np
Μαϊνάν Np
μαίνομαι V
μαιόομαι V
Μαισα Np
Μαισαλωθ Np
Μαιτεβεηλ Np
Μακαλωθ Np
Μακαλων Np
μακαρίζω V
μακάριος A N
μακαριότης N
μακαριστός A
μακαρίως D
Μακεδ Np
Μακεδονία Np
Μακεδών Np
Μακελλαθ Np
Μακελλωθ Np
Μακενια Np
Μακενιας Np
Μακηδα Np
Μακηδαν Np
Μακηλωθ Np
Μακκαβαῖος Np
μακράν D
μακρόβιος A
μακροβίωσις N
μακροημέρευσις N
μακροημερεύω V
μακροήμερος A
μακρόθεν D P
μακροθυμέω V
μακροθυμία N
μακρόθυμος A
μακρός A
μακρότερον D
μακρότης N
μακροτονέω V
μακροχρονίζω V
μακροχρόνιος A
μάκρυμμα N
μακρύνω V
Μάκρων Np
Μακχι Np
Μαλ Np
Μαλα Np
μάλα D
μάλαγμα N
μαλακία N
μαλακίζομαι V
μαλακίζω V
μαλακός A
μαλακοψυχάζω V
μαλακύνω V
μαλακῶς D
Μαλαχ Np
Μαλελεήλ Np
Μαλεχεθ Np
Μαλησεαρ Np
μάλιστα D
Μαλληθι Np
μᾶλλον D
Μαλλω Np
Μαλλῶται Np
Μαλουχ Np
Μαλτανναιος Np
Μαλχια Np
Μάλχος Np
Μαλωχ Np
Μαμβρη Np
Μαμδαι Np
μάμμη N
Μαμνιταναιμος Np
Μαμουχος Np
Μαμφιν Np
Μαν Np
μαν N
μαναα N
μανααν N
Μαναεμ Np
Μαναημ Np
Μαναήν Np
Μαναθι Np
Μαναϊμ Np
Μανασσήας Np
Μανασσῆς Np
Μαναχαθ Np
Μαναχαθι Np
μάνδρα N A
μανδραγόρας N
μανδύας N
μανη N
Μανης Np
Μανθαναιν Np
Μανθανιας Np
μανθάνω V
Μανι Np
μανία N
μανιάκης N
Μάνιος Np
μανιώδης A
μάννα N
Μανοχω Np
μαντεία N
μαντεῖον N
μαντεύομαι V
μάντις N
Μανωε Np
Μαουδα Np
Μαουεκ Np
Μαραγελλα Np
Μαραια Np
μαραίνω V
Μαραιωθ Np
Μαραλα Np
Μαρδοχαϊκός A
Μαρδοχαῖος Np
Μαρεθ Np
Μαρερωθ Np
Μαρησα Np
Μάρθα Np
Μαρι Np
Μαρία Np
Μαριάμ Np
Μαριβααλ Np
Μαριηλ Np
Μαριμωθ Np
Μαρισα Np
Μαρισαν Np
Μαρισης Np
Μαριωθ Np
Μᾶρκος Np
Μαρμα Np
μαρμάρινος A
μάρμαρος N
Μαρμασιμα Np
Μαρμηνα Np
Μαρμωθι Np
Μαρρων Np
μαρσίππιον N
μάρσιππος N
μαρτυρέω V
μαρτυρία N
μαρτύριον N
μαρτύρομαι V
μάρτυς N
