ἆ I
αἰσθητήριον N
αἰσθητική N
Αισιμωθ Np
αἰσχρός A
αἰσχρῶς D
αἰσχύνη N
αἰσχυντηρός A
αἰσχύνω V
Αισωρα Np
Αιταμ Np
Αιταν Np
αἰτέω V
αἴτημα N
αἴτησις N
αἰτία N
αἰτιάομαι V
αἴτιος A
Αϊτωβ Np
αἰφνίδιος A
αἰφνιδίως D
Αιχιοζα Np
αἰχμαλωσία N
αἰχμαλωτεύω V
αἰχμαλωτίζω V
αἰχμαλωτίς N A
αἰχμάλωτος A
αἰών N
αἰώνιος A
Ακαβωθ Np
ἀκαθαρσία N
ἀκάθαρτος A
ἄκαιρος A
ἀκαίρως D
ἀκακία N
ἄκακος A
ἀκάλυπτος A
ἀκαλύπτως D
ακαν N
ακανα N
ἄκανθα N
ἀκάνθινος A
ἀκάρδιος A
ἀκαριαῖος A
ἀκαρπία N
ἄκαρπος A
ἀκατάγνωστος A
ἀκατακάλυπτος A
ἀκατάλυτος A
ἀκαταμάχητος A
Ακαταν Np
ἀκατάποτος A
ἀκατασκεύαστος A
ἀκαταστασία N
ἀκαταστατέω V
ἀκατάστατος A
ἀκατάσχετος A
ἀκατέργαστος A
ἄκαυστος A
Ἀκελδαμά Np
Ἁκελδαμάχ Np
ἀκέραιος A
ἀκηδία N
ἀκηδιάζω V
ἀκηδιάω V
ἀκηλίδωτος A
ἀκιδωτόν N
Ακιεζι Np
Ακιμ Np
ἀκινάκης N
ἀκίνητος A
ἀκίς N
Ακιφα Np
Ακκαριωθ Np
Ακκαρων Np
Ακκαρωνίτης Np
Ακκως Np
ἀκλεής A
ἀκλεῶς D
ἀκληρέω V
ἄκλητος A
ἀκλινής A
ἀκμάζω V
ἀκμαῖος A
ἀκμή N
ἄκμων N
ἀκοή N
ἀκοίμητος A
ἀκοινώνητος A
ἀκολασία N
ἀκόλαστος A
ἀκολουθέω V
ἀκολουθία N
ἀκόλουθος A
ἀκολούθως D
ἀκονάω V
ἀκοντίζω V
ἀκοντιστής N
ἀκοπιάστως D
Ακορ Np
ἄκοσμος A
ἀκόσμως D
Ακουβ Np
Ακουδ Np
Ακουν Np
Ακους Np
ἀκουσιάζω V
ἀκούσιος A
ἀκουσίως D
ἀκουστός A
ἀκουτίζω V
Ακουφ Np
ἀκούω V
ἄκρα N
Ακραβαττήνη Np
Ακραβιν Np
ἀκρασία N
ἀκρατής A
ἄκρατος A N
ἀκριβάζω V
ἀκριβασμός N
ἀκρίβεια N
ἀκριβής A
ἀκριβῶς D
ἀκρίς N
ἀκρίτως D
ἀκρόαμα N
ἀκροάομαι V
ἀκρόασις N
ἀκροατής N
ἀκροβυστία N
ἀκρογωνιαῖος A
ἀκρόδρυα N
ἀκρόπολις N
ἄκρος A
ἀκρότομος A
ἀκροφύλαξ N
ἀκρωτηριάζω V
ἀκρωτήριον N
ἀκτίς N
Ἀκύλας Np
ἀκύματος A
ἄκυρος A
ἀκυρόω V
Ακχοβωρ Np
Ακχω Np
ἀκώλυτος A
ἄκων A
Ακως Np
Αλα Np
ἀλάβαστρον N
Αλαε Np
ἀλαζονεία N
ἀλαζονεύομαι V
ἀλαζών N
αλαιμωθ N
ἀλαλαγμός N
ἀλαλάζω V
ἄλαλος A
ἀλάσσω V
ἀλάστωρ N
Αλαωθ Np
ἀλγέω V
ἀλγηδών N
ἄλγημα N
ἀλγηρός A
ἄλγος N
ἄλειμμα N
ἀλείφω V
ἀλεκτρυών N
ἀλέκτωρ N
Αλεμα Np
Αλεμοι Np
Αλεμωνι Np
Ἀλεξάνδρεια Np
Ἀλεξανδρεύς Np
Ἀλεξανδρῖνος Np
Ἀλέξανδρος Np
ἄλευρον N
Αλεφ Np
ἀλέω V
ἀλήθεια N
ἀληθεύω V
ἀληθής A
ἀληθινός A
ἀληθινῶς D
ἀλήθω V
ἀληθῶς D
ἄληκτος A
ἁλιάετος N
ἁλιεύς N
ἁλιεύω V
ἁλίζω V
Αλιηλ Np
Ἁλικαρνασσός Np
Αλιμαζονις Np
ἄλιμον A
ἀλισγέω V
ἁλίσκω V
ἀλιτήριος N A
Αλιφαλατ Np
Αλιφαλεθ Np
Αλκαθα Np
ἀλκή N
Ἄλκιμος Np
ἀλλά C
ἀλλαγή N
ἄλλαγμα N
ἀλλάσσω V
ἀλλαχῆ D N
ἀλλαχόθεν D
ἀλλαχοῦ D
Αλληλ Np
Αλληλι Np
ἀλληλούϊα I
ἀλλήλων R
ἀλλογενής A
ἀλλόγλωσσος A
ἀλλοεθνής A
ἄλλοθεν D
ἀλλοῖος A
ἀλλοιόω V
ἀλλοίωσις N
ἅλλομαι V
ἄλλος A R
ἄλλοτε D
ἀλλότριος A
ἀλλοτριότης N
ἀλλοτριόω V
ἀλλοτρίως D
ἀλλοτρίωσις N
ἀλλοφυλέω V
